X,GENDER,RACE,MARRIED,EDUCATION.LEVEL,OCCUPATION,AGE,KIDS,RENT,MORTPAY,NETWORTH,WAGEINC,INCOME,COLLEGE
28624,FEMALE,BLACK OR AFRICAN AMERICAN,UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",26,0,0,0,54447.8729,38948.1674,38948.1674,NO COLLEGE
10699,MALE,WHITE (NON-HISPANIC),UNMARRIED,HIGH SCHOOL DIPLOMA OR GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",66,0,0,840,60140,12970.9419,38912.82565,COLLEGE
10497,MALE,ASIAN,MARRIED,BACHELORS DEGREE OR HIGHER,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",62,0,0,0,3272100,155651.303,163217.6854,COLLEGE
49729,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINO,NO HIGH SCHOOL OR GED,PROFESSIONAL AND RELATED OCCUPATIONS,49,4,0,985.324503,190225.589,0,118024.75,COLLEGE
35073,FEMALE,WHITE (NON-HISPANIC),MARRIED,BACHELORS DEGREE OR HIGHER,PROFESSIONAL AND RELATED OCCUPATIONS,55,0,927.364238,0,1532469.4,82617.3248,87338.3148,COLLEGE
35417,MALE,WHITE (NON-HISPANIC),MARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,PROFESSIONAL AND RELATED OCCUPATIONS,49,0,0,2782.09272,3530707.5,171135.887,171135.887,NO COLLEGE
41681,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",51,1,0,0,76855.3113,11802.475,18883.96,NO COLLEGE
25048,MALE,WHITE (NON-HISPANIC),UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,SERVICE OCCUPATIONS,55,0,0,0,423921.378,0,53465.2116,NO COLLEGE
40639,MALE,BLACK OR AFRICAN AMERICAN,UNMARRIED,HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",41,0,0,0,330118.485,80256.8298,80256.8298,NO COLLEGE
17029,MALE,ASIAN,MARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,PROFESSIONAL AND RELATED OCCUPATIONS,33,2,0,2100,299000,108091.182,109172.0942,NO COLLEGE
10329,MALE,WHITE (NON-HISPANIC),UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,SERVICE OCCUPATIONS,74,0,710,0,17720,0,18375.501,NO COLLEGE
17256,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,HIGH SCHOOL DIPLOMA OR GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",50,1,2200,0,36010,91877.505,105929.3587,COLLEGE
22320,MALE,WHITE (NON-HISPANIC),UNMARRIED,BACHELORS DEGREE OR HIGHER,SERVICE OCCUPATIONS,63,1,700,0,-55840,0,50802.85571,COLLEGE
26941,MALE,OTHER,MARRIED,HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",22,2,846.219868,0,55641.8543,42488.9099,42488.9099,NO COLLEGE
10535,MALE,WHITE (NON-HISPANIC),UNMARRIED,NO HIGH SCHOOL DIPLOMA/GED,SERVICE OCCUPATIONS,80,0,0,530,130800,0,27022.79559,NO COLLEGE
35902,MALE,BLACK OR AFRICAN AMERICAN,MARRIED,BACHELORS DEGREE OR HIGHER,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",64,1,0,857.811921,168490.49,0,83797.5723,COLLEGE
12269,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,PROFESSIONAL AND RELATED OCCUPATIONS,48,1,0,3700,637950,64854.7094,156732.2144,COLLEGE
15438,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,PROFESSIONAL AND RELATED OCCUPATIONS,52,1,0,0,493760,0,9512.024048,COLLEGE
17731,MALE,ASIAN,MARRIED,BACHELORS DEGREE OR HIGHER,SERVICE OCCUPATIONS,76,0,0,0,1441200,0,87553.85772,COLLEGE
24612,MALE,WHITE (NON-HISPANIC),MARRIED,BACHELORS DEGREE OR HIGHER,SERVICE OCCUPATIONS,55,3,0,0,442932.344,0,40128.4149,COLLEGE
14737,MALE,ASIAN,MARRIED,HIGH SCHOOL DIPLOMA OR GED,SERVICE OCCUPATIONS,80,1,0,710,651830,61611.974,141599.4489,COLLEGE
31333,MALE,WHITE (NON-HISPANIC),MARRIED,BACHELORS DEGREE OR HIGHER,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",54,0,0,3361.69536,577052.397,147530.937,155792.67,COLLEGE
2103,MALE,HISPANIC OR LATINO,MARRIED,HIGH SCHOOL DIPLOMA OR GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",52,2,0,1400,344600,97282.0641,97282.06413,COLLEGE
29303,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,SERVICE OCCUPATIONS,69,0,0,0,18607.5634,14162.97,31866.6824,NO COLLEGE
50470,MALE,WHITE (NON-HISPANIC),0,NO HIGH SCHOOL OR GED,SERVICE OCCUPATIONS,62,5,440.498013,0,10119.8623,0,17703.7125,COLLEGE
49085,MALE,WHITE (NON-HISPANIC),MARRIED,NO HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",30,4,0,0,1574200.8,129827.225,131007.472,COLLEGE
12978,FEMALE,HISPANIC OR LATINO,MARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,SERVICE OCCUPATIONS,67,0,0,0,354030,0,37831.91383,NO COLLEGE
8389,MALE,BLACK OR AFRICAN AMERICAN,UNMARRIED,BACHELORS DEGREE OR HIGHER,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",30,0,0,500,90700,75663.8277,75663.82766,COLLEGE
14901,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",51,2,0,530,174450,30265.5311,41074.6493,COLLEGE
34400,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",83,1,0,324.577483,93721.7483,49570.3949,49570.3949,NO COLLEGE
15522,MALE,WHITE (NON-HISPANIC),MARRIED,BACHELORS DEGREE OR HIGHER,SERVICE OCCUPATIONS,67,0,0,2900,182983200,0,0,COLLEGE
12796,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",30,1,0,1400,146700,102686.623,122143.0361,COLLEGE
17937,FEMALE,ASIAN,UNMARRIED,BACHELORS DEGREE OR HIGHER,PROFESSIONAL AND RELATED OCCUPATIONS,36,0,0,3500,484000,0,62692.88577,COLLEGE
1397,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,PROFESSIONAL AND RELATED OCCUPATIONS,55,1,0,0,1945200,179431.363,188078.6573,COLLEGE
16833,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,SERVICE OCCUPATIONS,37,1,1600,0,33160,0,44317.38477,NO COLLEGE
17222,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL DIPLOMA OR GED,PROFESSIONAL AND RELATED OCCUPATIONS,64,0,0,0,12230000,108091.182,0,COLLEGE
41626,MALE,WHITE (NON-HISPANIC),MARRIED,BACHELORS DEGREE OR HIGHER,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",35,2,0,4173.13907,331532.715,118024.75,166414.897,COLLEGE
17793,FEMALE,HISPANIC OR LATINO,MARRIED,NO HIGH SCHOOL DIPLOMA/GED,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",47,3,2500,0,-3000,59450.1503,59450.1503,NO COLLEGE
18110,MALE,BLACK OR AFRICAN AMERICAN,MARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,"MANAGEMENT, BUSINESS, AND FINANICAL OCCUPATIONS",76,0,0,0,245530,0,71340.18036,NO COLLEGE
47076,MALE,WHITE (NON-HISPANIC),0,NO HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",50,5,637.562914,0,811.443709,8261.73248,18883.96,COLLEGE
94,FEMALE,WHITE (NON-HISPANIC),UNMARRIED,BACHELORS DEGREE OR HIGHER,PROFESSIONAL AND RELATED OCCUPATIONS,32,0,1900,0,44000,43236.473,49721.94389,COLLEGE
24848,MALE,WHITE (NON-HISPANIC),UNMARRIED,HIGH SCHOOL OR GED,SERVICE OCCUPATIONS,20,0,637.562914,0,19614.9129,8261.73248,28325.9399,NO COLLEGE
31990,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL OR GED,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",65,0,0,915.772185,206674.713,64913.6123,81437.0773,NO COLLEGE
43955,MALE,WHITE (NON-HISPANIC),MARRIED,SOME COLLEGE OR ASSOCIATE DEGREE,"MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",59,2,0,1738.80795,378723.963,119204.997,119204.997,NO COLLEGE
26565,MALE,WHITE (NON-HISPANIC),MARRIED,HIGH SCHOOL OR GED,SERVICE OCCUPATIONS,23,0,0,0,1030997.19,148711.185,157445.016,NO COLLEGE
